Accident Date,Accident Type
1/1/15,Collision with a fixed object
1/1/15,Collision with vehicle
1/1/15,Collision with vehicle
1/1/15,Struck animal
1/1/15,Collision with vehicle
1/1/15,Collision with vehicle
1/1/15,Struck Pedestrian
1/1/15,Collision with vehicle
1/1/15,Collision with vehicle
1/1/15,Struck Pedestrian
1/1/15,Collision with a fixed object
1/1/15,Collision with vehicle
1/1/15,Collision with vehicle
1/1/15,Collision with a fixed object
1/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with a fixed object
2/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Struck Pedestrian
2/1/15,Collision with vehicle
2/1/15,Collision with a fixed object
2/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Struck Pedestrian
2/1/15,Collision with vehicle
2/1/15,Collision with a fixed object
2/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with a fixed object
2/1/15,Collision with a fixed object
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
2/1/15,Collision with vehicle
3/1/15,Collision with a fixed object
3/1/15,Collision with vehicle
3/1/15,Collision with a fixed object
3/1/15,Collision with vehicle
3/1/15,Struck Pedestrian
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
3/1/15,Struck Pedestrian
3/1/15,Struck animal
3/1/15,Collision with a fixed object
3/1/15,Collision with a fixed object
3/1/15,Collision with a fixed object
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
3/1/15,Collision with a fixed object
3/1/15,Collision with vehicle
3/1/15,Collision with a fixed object
3/1/15,Struck Pedestrian
3/1/15,Collision with vehicle
3/1/15,Struck Pedestrian
3/1/15,Struck animal
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
3/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with a fixed object
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with a fixed object
4/1/15,Collision with a fixed object
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with a fixed object
4/1/15,Collision with vehicle
4/1/15,Collision with a fixed object
4/1/15,Collision with a fixed object
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
4/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with a fixed object
5/1/15,Struck Pedestrian
5/1/15,Collision with vehicle
5/1/15,Collision with a fixed object
5/1/15,Collision with vehicle
5/1/15,Struck Pedestrian
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with vehicle
5/1/15,Collision with a fixed object
5/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with a fixed object
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with a fixed object
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Struck Pedestrian
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with a fixed object
6/1/15,Collision with a fixed object
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
